Model,Accuracy,f1,Precision,Recall
RandomForestClassifier,0.9642857142857143,0.9642565718797244,0.9642527705430816,0.9642857142857143
GradientBoostingClassifier,0.9430857142857143,0.9430455685046908,0.9430565493260689,0.9430857142857143
DecisionTreeClassifier,0.8565904761904762,0.8564621670623198,0.8564218843956832,0.8565904761904762
SGDClassifier,0.8238095238095238,0.8228347578709124,0.8243790033124083,0.8238095238095238
SVC,0.7733714285714286,0.7726809892956314,0.7851154776110704,0.7733714285714286
KNeighborsClassifier,0.7404761904761905,0.7377409723945779,0.7418836610865793,0.7404761904761905
AdaBoostClassifier,0.726,0.7238305791979645,0.7234191466865179,0.726
